host,port,country,anonymity,https,last_checked,extraction_date,response_time,detected_ip,is_working,avg_response_time,test_http://httpbin.org/ip,test_https://api.ipify.org,test_https://www.google.com
94.242.240.36,3128,Luxembourg,anonymous,yes,1 min ago,2024-08-22 11:33:14,0.80,94.242.240.36,Yes,0.38,Pass,Pass,Pass
15.204.161.192,18080,United States,elite proxy,yes,20 mins ago,2024-08-22 11:33:14,1.44,77.111.247.46,Yes,0.52,Pass,Pass,Fail
181.188.27.162,8080,Trinidad and Tobago,elite proxy,yes,20 mins ago,2024-08-22 11:33:14,1.62,181.188.27.162,Yes,0.59,Pass,Pass,Fail
189.240.60.164,9090,Mexico,elite proxy,no,20 mins ago,2024-08-22 11:33:14,6.04,189.240.60.168,Yes,1.22,Pass,Pass,Fail
189.240.60.168,9090,Mexico,elite proxy,no,18 secs ago,2024-08-22 11:33:14,2.58,189.240.60.168,Yes,1.42,Pass,Pass,Fail
54.179.44.51,3128,Singapore,elite proxy,yes,10 mins ago,2024-08-22 11:33:14,1.45,18.140.237.238,Yes,1.47,Pass,Pass,Pass
135.148.100.78,48149,United States,anonymous,yes,1 min ago,2024-08-22 11:33:14,0.68,135.148.100.78,Yes,2.47,Pass,Pass,Pass
20.111.54.16,8123,France,elite proxy,no,1 min ago,2024-08-22 11:33:14,0.35,20.111.54.16,No,0.08,Pass,Fail,Fail
20.206.106.192,8123,Brazil,elite proxy,no,1 min ago,2024-08-22 11:33:14,0.53,20.206.106.192,No,0.18,Pass,Fail,Fail
162.223.90.130,80,United States,elite proxy,no,1 min ago,2024-08-22 11:33:14,0.55,162.223.90.130,No,0.11,Pass,Fail,Fail
103.127.1.130,80,Bangladesh,anonymous,no,1 min ago,2024-08-22 11:33:14,0.61,N/A,No,N/A,Fail,Fail,Fail
68.178.203.69,8899,United States,anonymous,no,20 mins ago,2024-08-22 11:33:14,0.65,N/A,No,N/A,Fail,Fail,Fail
4.236.183.37,8080,United States,anonymous,no,1 min ago,2024-08-22 11:33:14,0.66,N/A,No,N/A,Fail,Fail,Fail
23.247.136.245,80,Singapore,anonymous,no,1 min ago,2024-08-22 11:33:14,0.66,23.247.136.245,No,0.15,Pass,Fail,Fail
154.203.132.49,8080,Seychelles,anonymous,no,1 min ago,2024-08-22 11:33:14,1.06,125.77.25.177,No,0.55,Pass,Fail,Fail
82.102.10.253,80,United Kingdom,anonymous,no,1 min ago,2024-08-22 11:33:14,1.08,82.102.10.253,No,0.55,Pass,Fail,Fail
20.24.43.214,80,Singapore,elite proxy,no,10 mins ago,2024-08-22 11:33:14,1.10,20.24.43.214,No,0.19,Pass,Fail,Fail
47.56.110.204,8989,Hong Kong,anonymous,no,1 min ago,2024-08-22 11:33:14,1.19,N/A,No,N/A,Fail,Fail,Fail
154.203.132.55,8090,Seychelles,anonymous,no,1 min ago,2024-08-22 11:33:14,1.19,125.77.25.178,No,0.61,Pass,Fail,Fail
160.86.242.23,8080,Japan,elite proxy,yes,1 min ago,2024-08-22 11:33:14,1.28,160.86.242.23,No,0.33,Pass,Fail,Fail
116.125.141.115,80,South Korea,anonymous,no,1 min ago,2024-08-22 11:33:14,1.90,N/A,No,N/A,Fail,Fail,Fail
43.134.33.254,3128,Singapore,anonymous,no,20 mins ago,2024-08-22 11:33:14,2.27,N/A,No,N/A,Fail,Fail,Fail
171.244.60.55,8080,Vietnam,anonymous,yes,15 secs ago,2024-08-22 11:33:14,2.55,N/A,No,N/A,Fail,Fail,Fail
51.89.14.70,80,United Kingdom,elite proxy,no,10 mins ago,2024-08-22 11:33:14,2.56,51.89.14.70,No,0.10,Pass,Fail,Fail
8.148.20.126,8080,Singapore,transparent,no,17 secs ago,2024-08-22 11:33:14,2.64,N/A,No,N/A,Fail,Fail,Fail
198.44.255.3,80,Hong Kong,anonymous,no,1 min ago,2024-08-22 11:33:14,2.78,N/A,No,N/A,Fail,Fail,Fail
91.243.194.0,3128,Ukraine,elite proxy,no,20 mins ago,2024-08-22 11:33:14,2.92,N/A,No,N/A,Fail,Fail,Fail
43.134.229.98,3128,Singapore,anonymous,no,20 mins ago,2024-08-22 11:33:14,2.99,N/A,No,N/A,Fail,Fail,Fail
47.88.85.102,3389,United States,anonymous,no,20 mins ago,2024-08-22 11:33:14,3.22,N/A,No,N/A,Fail,Fail,Fail
159.65.77.168,8585,United States,anonymous,no,20 mins ago,2024-08-22 11:33:14,3.65,N/A,No,N/A,Fail,Fail,Fail
183.100.14.134,8000,South Korea,elite proxy,no,10 mins ago,2024-08-22 11:33:14,4.70,183.100.14.134,No,1.95,Pass,Fail,Fail
103.113.149.245,6969,Bangladesh,transparent,no,6 mins ago,2024-08-22 11:33:14,6.48,103.113.149.247,No,1.59,Fail,Pass,Fail
43.134.68.153,3128,Singapore,anonymous,yes,20 mins ago,2024-08-22 11:33:14,6.69,N/A,No,N/A,Fail,Fail,Fail
86.57.251.210,3128,Belarus,anonymous,no,20 mins ago,2024-08-22 11:33:14,6.72,N/A,No,N/A,Fail,Fail,Fail
35.215.216.90,80,Brazil,anonymous,no,20 mins ago,2024-08-22 11:33:14,7.34,35.215.216.90,No,0.71,Pass,Fail,Fail
20.210.113.32,8123,Japan,elite proxy,no,10 mins ago,2024-08-22 11:33:14,7.61,20.210.113.32,No,0.52,Pass,Fail,Fail
49.245.96.145,80,Singapore,anonymous,no,1 min ago,2024-08-22 11:33:14,8.11,N/A,No,N/A,Fail,Fail,Fail
123.30.154.171,7777,Vietnam,anonymous,no,1 min ago,2024-08-22 11:33:14,8.35,123.30.154.171,No,0.37,Pass,Fail,Fail
38.54.71.67,80,Nepal,elite proxy,no,20 mins ago,2024-08-22 11:33:14,9.45,N/A,No,N/A,Fail,Fail,Fail
37.27.6.46,80,Finland,elite proxy,no,20 mins ago,2024-08-22 11:33:14,10.48,N/A,No,N/A,Fail,Fail,Fail
198.74.51.79,8888,United States,anonymous,no,10 mins ago,2024-08-22 11:33:14,11.29,N/A,No,N/A,Fail,Fail,Fail
51.250.13.88,80,Russian Federation,elite proxy,no,20 mins ago,2024-08-22 11:33:14,13.54,N/A,No,N/A,Fail,Fail,Fail
190.103.177.131,80,Argentina,anonymous,no,18 secs ago,2024-08-22 11:33:14,15.68,N/A,No,N/A,Fail,Fail,Fail
